,Uber,OlaCabs,Meru Cabs
0,"  I love this app i use this almost everyday for my commute,Uber pool is much affordable and routes and matching are most of the time efficient and prefect,Some time the pool get matched far off.Drivers are good and kind. Some time GPS confuse the drivers in terms of drop off locations or pickup location. The new driver's profile are catchy and briefly show some information about the drivers.I hope uber will create riders profile too.Thank you.  ","  Good application. I am a frequent traveller through OLA shuttle for to and from office. i would like to have little more frequency in shuttle service option from Patuli kolkata to esospace rajarhat. currently there is a gap of 1hr 30 min from 8:30 am to 10:17 am. can u please provide some more shuttle in between this time in this route. Also try to have more micro and mini available all the time. When commuters need service more in peak hours,  those just vanish. Kindly have thought.  ",  E-mail reciepts not working... Useless for official purpose  
1,"  Trying to help my sister reach her destination, the drivers cancelled and didn't charge me the cancellation fee but instead the price of the whole fare. Now I'm trying to find the company/corporate number to get my money back. But it doesn't show a number to contact. Uber is trying to be slick now but it's not. I don't recommend it if you are new to it. Learn to use it first.  ",  Nice service but in Tirunelveli in ola Auto charge more than bill that is equal to normal stand Auto bill. When we call driver after getting booking confirmed they telling their rate. If we agree they are ready to pickup otherwise they are telling customers to cancel the ride. Other than this your service is nice and app function well. Please provide some provision for complaint in app  ,  Good app. Payment with wallet sometimes doesn't happen  
2,"  Fare cheat...!! The driver took different route and makes my trip fare goes thrice than it should be. And the best of it, uner says : it is within fare range... so I cannot do anything against this.... the driver said he knows the route so I do not check my GPS... but I realised when it took longer and the driver seems to circling around... its too late...anyway.. my 3Km trips become 12Km... and UBER PROTECTING THIS CHEATER!!!  ",  I am a frequent traveller of ola. Still my account is blocked by them from last 1 week I m facing lots of problems due to this. Because Every day I use it for going and coming from office. From last 3 months I am continuously using their services. But still after doing a complaint on their website for unblock my account name bhagyashree Phule still no reply and it is blocked. No action is taken to unblock my account. Please improve your services and activate my account till tomorrow.  ,"  Very misguiding . Don't believe their exactometer ever. While booking through their app i used paytm to book from airport to home, and it nowhere said that toll charges are extra.  The driver still asked for cash at the toll gate. I travel cashless everywhere. Customer care said that we always have to pay in cash. Where is the bill that I paid for the toll charges? This is stealing money. Uber and ola always contain the final amount and everything is payable cashless  "
3,"  I down loaded the app and accidentally orders an uber while trying to arrange a delayed pick up. I was charged 5 bucks for cancellation because I was confused on how to use the app. I WILL NEVER USE UBER AGAIN, I DONT RECOMMEND ANYONE ELSE USE UBER AND IF YOU DO EXPECT TO BE PRICE GOUGED. got a taxi just fine for 8 bucks and no hassle's.  ","  Ola Share is probably the among the worst products ever designed. The pick up algorithm does not make any sense; there is absolutely no limit to the number of people who can join a particular journey. No time estimations are done, no optimization of the distance travelled by any passenger is done. Looks like Ola share feature was developed over night without giving much thought. Do not ever try Ola Share.  ",  Pathetic experience with Meru cabs. They feel they are the most superior cab services however they are the most horrible one. Drivers always deny duty or just switch off their phone. Downloaded it yesterday and uninstalling today. Worst company worst services  
4,"  Installed the app, and literally nothing happens. I got a new phone and when I log into Uber, none of my info shows up. I can't add home or office addresses, I can't add payment info, I cant even get the 'Help' link to load. I click and end up on a page with a heading, 'Help' for example, then blank under that. Super crappy considering I am a long time Uber customer. If I can't get the app to run, I'll simply stop using Uber.  ",  Non transparent fare policy and they have increased their price to that much even their coupons can't justify. Drivers takes pickup without dropping current passengers and then reach late at pickup point. Auto drivers never comes. They either cancel the ride or does not picks the call. Coupons provided are either useless or never get applied. I suggest them to work in these areas and should provide training to their drivers.  ,"  Worst app ever,I recharged wallet of 1000 rupees and had one ride in December 2016.I had approximately 700 rupees left in my wallet. After four months when I tried to book cab, my meru cab wallet showed 0 rupees left. I lost my money and when I contacted to meru,they did not give response properly. After reading my comment don't reply that hi Neel we are sorry and if you really feel sorry give me back my rupees.  "
5,  Ok seriously uber need to work on a lot. Mainly the language barrier! You should not match up English and Spanish speaking people if they are unable to communicate with one another. It's fustrating especially at an AIRPORT. There is a lack of communication! If a driver says they only speak a certain language do not match them with someone that doesn't understand that language unless its an easy to navigate place.  ,"  Worst kind of pricing i have ever seen. If the ride has been cancelled by the driver then its a problem with him, not with a rider. I was really pissed off because of this over charge. I think they should let us allow the customers to know about the actual fare amount before starting a ride. Please update your app properly. Didn't expect this kind of faulty service from Ola. Worse service.  ","  Just pathetic. Never go by the fare estimator as it is faulty, you would end up paying close to 1.5-2 times of the shown fare. There app is not capable of deducting the amount from your wallet so in the end you have to pay cash to the driver as according to customer care at 3 am in the morning they expect us to find an ATM and give cash since their system had a fault and wallet was not deducted. Ended up paying 900/- for the ride which was showing an estimate of 500/-.  Dumbest and stupidest customer care ever. All they can say is ""sorry I can't help you in this regard"".  "
6,"  I love this app i use this almost everyday for my commute,Uber pool is much affordable and routes and matching are most of the time efficient and prefect,Some time the pool get matched far off.Drivers are good and kind. Some time GPS confuse the drivers in terms of drop off locations or pickup location. The new driver's profile are catchy and briefly show some information about the drivers.I hope uber will create riders profile too.Thank you.  ","  Good application. I am a frequent traveller through OLA shuttle for to and from office. i would like to have little more frequency in shuttle service option from Patuli kolkata to esospace rajarhat. currently there is a gap of 1hr 30 min from 8:30 am to 10:17 am. can u please provide some more shuttle in between this time in this route. Also try to have more micro and mini available all the time. When commuters need service more in peak hours,  those just vanish. Kindly have thought.  ",  E-mail reciepts not working... Useless for official purpose  
7,"  Trying to help my sister reach her destination, the drivers cancelled and didn't charge me the cancellation fee but instead the price of the whole fare. Now I'm trying to find the company/corporate number to get my money back. But it doesn't show a number to contact. Uber is trying to be slick now but it's not. I don't recommend it if you are new to it. Learn to use it first.  ",  Nice service but in Tirunelveli in ola Auto charge more than bill that is equal to normal stand Auto bill. When we call driver after getting booking confirmed they telling their rate. If we agree they are ready to pickup otherwise they are telling customers to cancel the ride. Other than this your service is nice and app function well. Please provide some provision for complaint in app  ,  Good app. Payment with wallet sometimes doesn't happen  
8,"  Fare cheat...!! The driver took different route and makes my trip fare goes thrice than it should be. And the best of it, uner says : it is within fare range... so I cannot do anything against this.... the driver said he knows the route so I do not check my GPS... but I realised when it took longer and the driver seems to circling around... its too late...anyway.. my 3Km trips become 12Km... and UBER PROTECTING THIS CHEATER!!!  ",  I am a frequent traveller of ola. Still my account is blocked by them from last 1 week I m facing lots of problems due to this. Because Every day I use it for going and coming from office. From last 3 months I am continuously using their services. But still after doing a complaint on their website for unblock my account name bhagyashree Phule still no reply and it is blocked. No action is taken to unblock my account. Please improve your services and activate my account till tomorrow.  ,"  Very misguiding . Don't believe their exactometer ever. While booking through their app i used paytm to book from airport to home, and it nowhere said that toll charges are extra.  The driver still asked for cash at the toll gate. I travel cashless everywhere. Customer care said that we always have to pay in cash. Where is the bill that I paid for the toll charges? This is stealing money. Uber and ola always contain the final amount and everything is payable cashless  "
9,"  I down loaded the app and accidentally orders an uber while trying to arrange a delayed pick up. I was charged 5 bucks for cancellation because I was confused on how to use the app. I WILL NEVER USE UBER AGAIN, I DONT RECOMMEND ANYONE ELSE USE UBER AND IF YOU DO EXPECT TO BE PRICE GOUGED. got a taxi just fine for 8 bucks and no hassle's.  ","  Ola Share is probably the among the worst products ever designed. The pick up algorithm does not make any sense; there is absolutely no limit to the number of people who can join a particular journey. No time estimations are done, no optimization of the distance travelled by any passenger is done. Looks like Ola share feature was developed over night without giving much thought. Do not ever try Ola Share.  ",  Pathetic experience with Meru cabs. They feel they are the most superior cab services however they are the most horrible one. Drivers always deny duty or just switch off their phone. Downloaded it yesterday and uninstalling today. Worst company worst services  
